DESC/EXAMPLE	NST-XSAMPA	WS-SAMPA	IPA	TYPE
sil	i:	i:	iː	syllabic
sill	I	I	ɪ	syllabic
full	u0	u0	ɵ	syllabic
ful	}:	}:	ʉː	syllabic
matt	a	a	a	syllabic
mat	A:	A:	ɑː	syllabic
bot	u:	u:	uː	syllabic
bott	U	U	ʊ	syllabic
häl	E:	E:	ɛː	syllabic
häll	E	E	ɛ	syllabic
aula	a*U	au	a⁀ʊ	syllabic
syl	y:	y:	yː	syllabic
syll	Y	Y	ʏ	syllabic
hel	e:	e:	eː	syllabic
herr,hett	e	e	e	syllabic
nöt	2:	2:	øː	syllabic
mött,förra	9	9	ø	syllabic
mål	o:	o:	oː	syllabic
moll,håll	O	O	ɔ	syllabic
bättre	@	@	ə	syllabic
hjärta	n/a	n/a	æ	syllabic
hjärna	n/a	n/a	æː	syllabic
mörk	n/a	n/a	œ	syllabic
bör	n/a	n/a	œː	syllabic
europa	E*U	eu	e⁀ʊ	syllabic
pol	p	p	p	non syllabic
bok	b	b	b	non syllabic
tok	t	t	t	non syllabic
bort	t`	rt	ʈ	non syllabic
mod	m	m	m	non syllabic
nod	n	n	n	non syllabic
dop	d	d	d	non syllabic
bord	d`	rd	ɖ	non syllabic
fot	k	k	k	non syllabic
våt	g	g	g	non syllabic
lång	N	N	ŋ	non syllabic
forna	n`	rn	ɳ	non syllabic
fot	f	f	f	non syllabic
våt	v	v	v	non syllabic
kjol (in NST specs)	s’	C	ɕ	non syllabic
kjol (in NST actual transcriptions)	s'	C	ɕ	non syllabic
fors	s`	rs	ʂ	non syllabic
rov	r	r	r	non syllabic
lov	l	l	l	non syllabic
sot	s	s	s	non syllabic
sjok	x\	x	ɧ	non syllabic
hot	h	h	h	non syllabic
porla	l`	rl	ɭ	non syllabic
jord	j	j	j	non syllabic
schlager	n/a	n/a	ʃ	non syllabic
syllable delimiter	$	.	.	syllable delimiter
accent I	"	"	ˈ	stress
accent II	""	""	ˈ̀	stress
secondary stress	%	%	ˌ	stress
phoneme delimiter		 		phoneme delimiter
explicit phoneme delimiter	-	 		explicit phoneme delimiter
				
## TODO: tester!				
