DESCRIPTION	NST-XSAMPA	WS-SAMPA	CATEGORY
sil	i:	i:	syllabic
sill	I	I	syllabic
full	u0	u0	syllabic
ful	}:	}:	syllabic
matt	a	a	syllabic
mat	A:	A:	syllabic
bot	u:	u:	syllabic
bott	U	U	syllabic
häl	E:	E:	syllabic
häll	E	E	syllabic
aula	a*U	au	syllabic
syl	y:	y:	syllabic
syll	Y	Y	syllabic
hel	e:	e:	syllabic
herr,hett	e	e	syllabic
nöt	2:	2:	syllabic
mött,förra	9	9	syllabic
mål	o:	o:	syllabic
moll,håll	O	O	syllabic
bättre	@	@	syllabic
#hjärta	n/a	n/a	syllabic
#hjärna	n/a	n/a	syllabic
#mörk	n/a	n/a	syllabic
#bör	n/a	n/a	syllabic
europa	E*U	eu	syllabic
pol	p	p	non syllabic
bok	b	b	non syllabic
tok	t	t	non syllabic
bort	t`	rt	non syllabic
mod	m	m	non syllabic
nod	n	n	non syllabic
dop	d	d	non syllabic
bord	d`	rd	non syllabic
fot	k	k	non syllabic
våt	g	g	non syllabic
lång	N	N	non syllabic
forna	n`	rn	non syllabic
fot	f	f	non syllabic
våt	v	v	non syllabic
kjol	s'	C	non syllabic
fors	s`	rs	non syllabic
rov	r	r	non syllabic
lov	l	l	non syllabic
sot	s	s	non syllabic
sjok	x\	x	non syllabic
hot	h	h	non syllabic
porla	l`	rl	non syllabic
jord	j	j	non syllabic
#schlager	n/a	n/a	non syllabic
syllable delimiter	$	.	syllable delimiter
accent I	"	"	stress
accent II	""	""	stress
secondary stress	%	%	stress
phoneme delimiter		 	phoneme delimiter
